Estudiante_ID,Edad,Nota_Mat,Nota_Leng,Nota_CS,Genero,Comuna,Promedio,Rango_Edad
1,21,21,80,89,femenino,Penco,63.333333333333336,Menor de 25
2,28,12,48,59,femenino,Tomé,39.666666666666664,Mayor o igual de 25 años
3,22,18,93,84,masculino,Coronel,65.0,Menor de 25
4,20,82,22,11,masculino,Penco,38.333333333333336,Menor de 25
5,20,41,26,61,prefiero no decirlo,Coronel,42.666666666666664,Menor de 25
6,29,55,83,57,masculino,San Pedro,65.0,Mayor o igual de 25 años
7,21,62,23,71,femenino,Penco,52.0,Menor de 25
8,24,28,86,11,prefiero no decirlo,San Pedro,41.666666666666664,Menor de 25
9,22,47,47,67,femenino,Penco,53.666666666666664,Menor de 25
10,26,39,28,53,masculino,Concepción,40.0,Mayor o igual de 25 años
11,20,13,3,40,masculino,Arauco,18.666666666666668,Menor de 25
12,27,98,21,95,prefiero no decirlo,Arauco,71.33333333333333,Mayor o igual de 25 años
13,18,71,48,37,prefiero no decirlo,Lota,52.0,Menor de 25
14,27,77,9,84,prefiero no decirlo,Coronel,56.666666666666664,Mayor o igual de 25 años
15,24,71,39,13,prefiero no decirlo,Penco,41.0,Menor de 25
16,22,4,64,78,masculino,San Pedro,48.666666666666664,Menor de 25
17,27,69,21,39,masculino,San Pedro,43.0,Mayor o igual de 25 años
18,19,25,95,86,femenino,Concepción,68.66666666666667,Menor de 25
19,22,98,49,2,masculino,Lota,49.666666666666664,Menor de 25
20,20,83,58,66,prefiero no decirlo,Arauco,69.0,Menor de 25
21,20,33,2,22,prefiero no decirlo,Coronel,19.0,Menor de 25
22,27,35,89,61,femenino,San Pedro,61.666666666666664,Mayor o igual de 25 años
23,25,93,13,99,femenino,Penco,68.33333333333333,Mayor o igual de 25 años
24,24,64,95,12,masculino,San Pedro,57.0,Menor de 25
25,21,10,46,98,masculino,Lota,51.333333333333336,Menor de 25
26,23,29,71,77,masculino,Penco,59.0,Menor de 25
27,26,79,45,21,prefiero no decirlo,Arauco,48.333333333333336,Mayor o igual de 25 años
28,21,68,46,39,prefiero no decirlo,San Pedro,51.0,Menor de 25
29,29,44,17,58,prefiero no decirlo,San Pedro,39.666666666666664,Mayor o igual de 25 años
30,19,27,63,29,prefiero no decirlo,Coronel,39.666666666666664,Menor de 25
31,24,60,70,70,femenino,Concepción,66.66666666666667,Menor de 25
32,26,95,33,30,femenino,Arauco,52.666666666666664,Mayor o igual de 25 años
33,21,80,2,68,masculino,Hualpén,50.0,Menor de 25
34,26,42,32,52,prefiero no decirlo,Concepción,42.0,Mayor o igual de 25 años
35,28,77,79,51,prefiero no decirlo,Coronel,69.0,Mayor o igual de 25 años
36,26,68,99,65,masculino,Lota,77.33333333333333,Mayor o igual de 25 años
37,22,83,31,68,masculino,Tomé,60.666666666666664,Menor de 25
38,25,72,80,75,femenino,Penco,75.66666666666667,Mayor o igual de 25 años
39,26,58,81,85,femenino,Arauco,74.66666666666667,Mayor o igual de 25 años
40,22,1,26,7,prefiero no decirlo,San Pedro,11.333333333333334,Menor de 25
41,18,80,34,90,prefiero no decirlo,Penco,68.0,Menor de 25
42,23,29,98,92,prefiero no decirlo,Coronel,73.0,Menor de 25
43,25,16,93,61,prefiero no decirlo,San Pedro,56.666666666666664,Mayor o igual de 25 años
44,18,69,41,52,masculino,Hualpén,54.0,Menor de 25
45,18,10,53,25,masculino,Penco,29.333333333333332,Menor de 25
46,27,85,68,90,femenino,Coronel,81.0,Mayor o igual de 25 años
47,25,22,4,89,femenino,Hualpén,38.333333333333336,Mayor o igual de 25 años
48,20,74,20,53,masculino,Coronel,49.0,Menor de 25
49,18,27,96,92,femenino,Tomé,71.66666666666667,Menor de 25
50,27,23,43,62,prefiero no decirlo,Lota,42.666666666666664,Mayor o igual de 25 años
51,26,75,28,48,prefiero no decirlo,San Pedro,50.333333333333336,Mayor o igual de 25 años
52,19,54,2,45,masculino,San Pedro,33.666666666666664,Menor de 25
53,25,33,69,78,masculino,Lota,60.0,Mayor o igual de 25 años
